osmid,highway
53090322,
53090323,
53068822,
53068826,
53142555,
53068829,
53021742,
53021743,
53144625,
317363251,turning_circle
53021750,
53065783,
53089336,
53065785,turning_circle
53119042,
53127240,
703006798,
683050066,
53113943,
53113946,stop
53113947,
686202982,
53097585,
53097586,
683790465,
683050115,
53080198,
683050120,
260707479,
53152921,turning_circle
260707482,
53057697,
53138593,
53057704,
53117097,
53117098,
256542898,
256340150,turning_circle
683790519,
53119160,traffic_signals
53119162,
53119164,
53119166,
53085375,
53119168,
53085377,
2890584258,
53085380,
53085382,
53085385,
53137611,
53085387,
53085388,traffic_signals
53085389,
53126347,
53126350,
687156433,
3581678802,
53102808,
683050204,
3581678815,
53114734,
53117160,
683050219,
683050221,
53117166,
53037306,
53037307,
370467066,
53108990,
53108992,
4606504193,
53100813,
53091598,
245505298,
53076244,
53076245,
53076246,
53076247,
53041432,
245118228,
53076250,
53157145,turning_circle
53041437,
53041440,
53025057,
53041442,stop
53041443,
53025060,
53041445,
245387557,
53155115,
53156140,
53059885,
53156142,
53062956,
53062958,
53152062,
53077316,turning_circle
53152069,
311884105,
2286923086,
245118288,
245370192,
53152083,
2286923094,
53118296,
53118299,stop
53044573,turning_circle
53028190,
956500319,
53044575,
53028192,
2833994093,
53075311,
53040495,
53116276,
4671607162,
53142908,
53116302,
53116304,
53076382,
53118366,stop
53076384,stop
53118368,
53118372,
53118374,
53076391,
53076392,
53118376,
53076395,
53118380,
256543149,
53076399,
311882161,
245118387,
53044661,
53044664,
317339074,
53078467,
53078468,
53078469,
53025220,
53025222,turning_circle
53074376,
53078473,
53074377,
53125573,
53074380,
53125575,
53095909,
53069296,
53107191,
260706808,
53107192,
53097976,
53082619,
256338428,turning_circle
53082621,
53050874,
53050875,
53097980,
53082625,
53017091,
53041668,
53082627,
53041670,
53082631,
53082632,
2518218246,
53082634,
53036557,
53036558,
53115407,
53082640,
53042706,
53082643,
53082644,
53082645,
53042707,
53128727,
53128729,
53128733,
53124973,
53092207,
682821166,
53092210,
53156408,
245387832,
53156410,
53156415,
53156417,
442842707,
53125725,
206141021,
206141022,
53059166,
53059173,
53059175,
53139048,
53064300,
53064302,
245386862,
53088880,
53064305,
53088882,
53059186,
53059187,
53059189,
53145205,
53090940,
53027454,
53027455,
53027457,
53027459,
53027461,
53064327,
53064328,
53027463,
53064330,
53064331,
53075599,
2834093713,
53148306,turning_circle
53075602,
53112467,
53075606,traffic_signals
686194326,
53145241,
53040794,
53112473,
53112476,
53144226,
3905291938,
53144229,
53035698,
53035699,traffic_signals
53033660,
53100222,
53100223,
53124803,
53122757,
53124805,
53124807,
256339663,turning_circle
53133008,
53101282,
53101285,
682931951,
53116661,
53116662,
53116664,
53116672,
247141128,
60755723,
53023513,
53123865,
53073689,
53073691,
245505820,
53018397,
305541919,
53018399,
53018402,
2391023394,
53018404,
53018409,
53018410,
53018411,
2391023402,
245118772,turning_circle
246744892,
4612591433,
53149520,
53085009,
53079888,
53146451,
53079890,
53125973,
53125974,
53134176,turning_circle
53114726,
53114727,
53092199,
53092201,
53114730,
53092203,
53114732,
53125997,
53060461,
53125999,
53126000,
53099375,
53060462,
53060466,
53060465,
53060467,
53060468,
53060469,
53060471,
53060473,
256338809,
256338808,
256338812,
256338813,
53092214,
53086074,
53092218,
53092220,
53078914,
317364095,turning_circle
53092226,
53092228,
53081989,
53081990,
53149673,turning_circle
2834031502,
53134227,
2834816916,
53073816,
305541020,
53073822,
53022623,
53022625,turning_circle
53097380,
53111728,
2834814897,stop
53111730,
245384115,
53073843,
53143484,turning_circle
53143485,
53066716,
53066717,
53140452,
53140454,
53149671,
53046249,
53046250,
53046251,
53093356,
53046252,
53046253,
53093359,
53093360,
53046254,
53093362,
53046255,
53046256,
53093365,
245523440,
432431093,turning_circle
53093372,